public_unit_id,family,seed,control_type,edited_object,delta_vx,delta_vy,M1,joint_pass,anchor_rmse,k1_rmse,t19_rmse
joint-89a8114aac92bfca40db,M1,291303,wrong_vector,0,0.0660007618367672,0.1320015236735344,0.18778509084951409,true,0.03719785872110493,0.046513693850817946,0.1730383267965636
joint-fdd9add87d3e0887f0db,M1,291303,wrong_vector,0,-0.0660007618367672,-0.0660007618367672,0.21456413238930136,true,0.043447667168310666,0.04117829693755398,0.12709136034333487
joint-8deb233befdaaa44244e,M1,291303,wrong_vector,0,-0.0660007618367672,-0.1320015236735344,0.37934829551952604,true,0.06115053219679085,0.07934725548109857,0.25034394477259614
joint-750a25537e1c577ecb17,M1,291303,wrong_vector,0,0.1320015236735344,0.0660007618367672,0.3285238371513177,true,0.05379385097434647,0.05336732862965367,0.2836649306676324
joint-d20c3c92116f8fce3c1e,M1,291303,wrong_vector,0,-0.1320015236735344,-0.0660007618367672,0.3260193821978651,true,0.057696099437536605,0.049608856483226965,0.24288652423761575
joint-83912571774477870e69,M1,291303,wrong_vector,0,0.1320015236735344,-0.0660007618367672,0.38174049764735357,true,0.061715785246579044,0.05219928181748993,0.14980869493534932
joint-0b091357d2bc89169b82,M1,291303,wrong_vector,0,0.1320015236735344,-0.1320015236735344,0.4762124478400489,false,0.08737025675985126,0.09139895495521101,0.34857646447639334
joint-79a2726c7c85c127d89d,M1,291303,wrong_vector,0,-0.1320015236735344,-0.1320015236735344,0.4843874777660764,false,0.08086811737875123,0.08650670924453381,0.3562502713652057
joint-ff0e8b614b34aecce4b3,M1,291303,wrong_vector,1,0.0660007618367672,0.1320015236735344,0.1164186305948924,true,0.04003664591735604,0.02693596116050139,0.09649598859273267
joint-a6e0056491e5774f3780,M1,291303,wrong_vector,0,0.0660007618367672,-0.1320015236735344,0.4455134328907197,true,0.07167465857356979,0.07938179750374713,0.2595645514640216
joint-009541860623d2bb9f1f,M1,291303,wrong_vector,0,-0.0660007618367672,0.1320015236735344,0.40190972522716395,false,0.06201899444597544,0.057276853026733084,0.16297740246763096
joint-ffe811f4bd9985f39189,M1,291303,wrong_vector,0,-0.0660007618367672,-0.1320015236735344,0.23205014496343992,true,0.04007549826621028,0.055329271254852666,0.16391710176828728
joint-08c462a1ad92c4ade964,M1,291303,wrong_vector,0,0.1320015236735344,-0.0660007618367672,0.3462816740878165,true,0.0571210529056367,0.04699200176717043,0.1398136106536927
joint-2ce56f0ea0683dcda2f5,M1,291303,wrong_vector,0,-0.1320015236735344,-0.0660007618367672,0.25970543383974226,true,0.044765956531191184,0.04839217842128186,0.18649681152763464
joint-e8e45e1d9d7dc3a06a25,M1,291303,wrong_vector,0,0.1320015236735344,-0.1320015236735344,0.5031950873727344,false,0.07617166121986102,0.06620149137484904,0.20118552553361074
joint-cf92d455cc3ba4b96312,M1,291303,wrong_vector,1,-0.1320015236735344,0.1320015236735344,0.38548943675932956,true,0.0741203957244205,0.07362243529466239,0.2700916309991279
joint-2a931d7a53cb9c33974d,M2,291501,sham,0,0.0660007618367672,-0.0660007618367672,0.2164193665626986,true,0.03439288456698463,0.037552866821333186,0.1371548309659208
joint-4352a0ffd3ac22d2f5e6,M2,291501,sham,1,0.0660007618367672,-0.0660007618367672,0.16749386662451912,true,0.03066374208331067,0.032988415180076856,0.09990943928422194
joint-147f59a58d0ef285e900,M2,291501,sham,0,0.0660007618367672,-0.1320015236735344,0.30215951910956285,true,0.05230665645889799,0.05423549410222397,0.24734135538529947
joint-d0326bfd1d59b011ffc1,M2,291501,sham,0,0.1320015236735344,0.0660007618367672,0.3498539899566612,true,0.054549367735099205,0.05608208369699118,0.1672600073358024
joint-b0a6408213b275a6eec4,M2,291501,sham,0,-0.1320015236735344,0.0660007618367672,0.33350732375333,true,0.05136359558170651,0.05261307820622519,0.16068822750043146
joint-f16075ae76c562b01afa,M2,291501,sham,1,0.1320015236735344,0.0660007618367672,0.3345356669030387,true,0.05434935846109635,0.05455388309759296,0.25636567652079706
joint-6c84dffefac07a85efd4,M2,291501,sham,1,0.1320015236735344,-0.1320015236735344,0.3819897213402703,true,0.06632909269887188,0.06603688057546561,0.19756666373885534
joint-530af393a720d348afb0,M2,291501,sham,1,0.0660007618367672,0.0660007618367672,0.21215099124527734,true,0.033396112366639294,0.03435868543574148,0.10063796243328782
joint-66b0d86cfbc4d904308f,M2,291501,sham,0,-0.0660007618367672,0.0660007618367672,0.18202576725583217,true,0.03497214406325688,0.036605896270938056,0.1090617825602347
joint-cb84ae0ab47be6c0b097,M2,291501,sham,0,-0.0660007618367672,0.1320015236735344,0.37861483588543143,true,0.056030643888661136,0.05805712056956193,0.17828458091215557
joint-bd7b1bc3eac5c32be6ce,M2,291501,sham,0,-0.0660007618367672,-0.0660007618367672,0.1874262182942186,true,0.04067960139630081,0.03940753438836687,0.1413579518007824
joint-f42e2b2aa0bcf1904b2c,M2,291501,sham,1,0.1320015236735344,0.0660007618367672,0.30859454303245126,true,0.04986568228642757,0.049686360619753366,0.2562338905487334
joint-0cc5980f554a68da719e,M2,291501,sham,0,0.1320015236735344,0.1320015236735344,0.3654120519255594,true,0.07166682166300539,0.07075453418825443,0.30328439564962256
joint-c71196ce6b27a5f15741,M2,291501,sham,1,-0.0660007618367672,-0.0660007618367672,0.17699162617163383,true,0.027733377168978127,0.031256305013951956,0.08972765005257954
joint-08a29e94c959b15daf6c,M2,291501,sham,0,-0.1320015236735344,-0.0660007618367672,0.3506972209424245,true,0.0568798406295787,0.059928583018265966,0.22289456614874856
joint-009344968abd7434a0a8,M2,291501,sham,1,0.1320015236735344,-0.1320015236735344,0.36974336188988505,true,0.06751584354489298,0.07225397457459881,0.21674267622109109
joint-0d9b039cb21daac03d2a,M2,291501,sham,1,0.0660007618367672,0.0660007618367672,0.17620842517078966,true,0.032810181195472674,0.0344889687152156,0.10428271499897236
joint-96bbd61ef63ebf358d5e,M2,291501,sham,0,-0.0660007618367672,0.0660007618367672,0.16964104146249134,true,0.03041132867902777,0.03155277678844072,0.09603646255410804
joint-71226efdc82c7b8eb4e1,M2,291501,sham,1,0.1320015236735344,-0.1320015236735344,0.38818754717615217,false,0.07009172536403875,0.07506078056589344,0.2976366868014027
joint-2b6a5ce6c26b3991652e,M2,291501,sham,0,0.0660007618367672,-0.1320015236735344,0.32258812240635404,true,0.05089667887718559,0.05291466101060745,0.1612789555938443
joint-c45a492c6ab0e2e5bfbe,M2,291501,sham,1,0.1320015236735344,-0.0660007618367672,0.3437512773751186,true,0.05404770904498148,0.055715392117911516,0.2675997692796477
joint-b2b2ebaf8b3253aafde3,M2,291501,sham,0,0.1320015236735344,-0.1320015236735344,0.3751235087238847,true,0.0725699396985048,0.07215655256482376,0.2585347554945984
joint-58d5f239e12552c3626e,M2,291501,sham,0,-0.1320015236735344,0.1320015236735344,0.3357393798135804,true,0.06490768112452987,0.06873545418082717,0.2916603768193759
joint-fc2b76f0772372bf8c3c,M2,291501,sham,1,-0.1320015236735344,0.0660007618367672,0.3464462789348327,true,0.05529366194077556,0.054608978005459545,0.16642023371813436
joint-fe2aefddb9b7745686ad,M2,291501,sham,1,-0.0660007618367672,0.0660007618367672,0.1920420266647152,true,0.036791022258360694,0.03262518327518308,0.14159881607578606
joint-8b6ff975d45da97a4933,M2,291501,sham,1,0.1320015236735344,-0.1320015236735344,0.3881540680636392,true,0.06462534416184913,0.07251617762835146,0.2203397989847225
joint-175e17d0ef9573bac40e,M2,291501,sham,0,-0.1320015236735344,0.1320015236735344,0.3316233679162415,true,0.06529698192563509,0.06744425934574531,0.2072126394462187
joint-a3d06b9cb0966439eddd,M2,291501,sham,1,0.0660007618367672,0.1320015236735344,0.3872607212979554,true,0.05258170290879794,0.05390903841312729,0.1897279506367884
joint-04c90cd2b55e51d7395c,M2,291501,sham,0,0.0660007618367672,-0.1320015236735344,0.3449187636077938,true,0.05275591346775694,0.05208291590654779,0.18054648835664958
joint-03d19206c4766692b70a,M2,291501,sham,0,-0.0660007618367672,0.0660007618367672,0.15586227729421195,true,0.028899275537129784,0.03186002649768095,0.09843362549264542
joint-f3533a47857412ee6574,M2,291501,sham,1,-0.0660007618367672,-0.0660007618367672,0.19734034635007214,true,0.028901864414795832,0.02988895380399506,0.08855865035002639
joint-19e423cc276169fd1073,M2,291501,sham,1,0.1320015236735344,0.0660007618367672,0.2896010499576064,true,0.053718423131899284,0.057401901070736075,0.23313298902442003
joint-ff96f3eeddc533681410,M2,291501,sham,0,-0.1320015236735344,0.0660007618367672,0.34147034015635336,true,0.06398248003321384,0.06436955968413577,0.21510523578200186
joint-c4e21270ec4d0d7be262,M2,291501,sham,0,-0.0660007618367672,0.1320015236735344,0.35028414970173366,true,0.05728972637048941,0.06029212405935076,0.18263079795798182
joint-f3c2aa3445150de38445,M2,291501,sham,1,-0.0660007618367672,-0.1320015236735344,0.362499053004952,true,0.05199377752396816,0.05319403051419083,0.16280233542784878
joint-9b1bd063fe31242ee1d4,M2,291501,sham,0,-0.1320015236735344,0.0660007618367672,0.3561314338332273,true,0.05560433707654425,0.05732392172686271,0.17718859194718084
joint-dc07119105a4b0f17fef,M2,291501,sham,0,-0.1320015236735344,-0.1320015236735344,0.37178215037422274,true,0.07087297257245767,0.07360851555390713,0.22849679695298278
joint-e62d176dd1f3b78034aa,M2,291501,sham,1,0.0660007618367672,0.0660007618367672,0.1828718333544406,true,0.03418421823657849,0.0355934241923508,0.10782568239950571
joint-7fb044ff7f38057c2332,M2,291501,sham,1,-0.0660007618367672,-0.1320015236735344,0.36259912816592066,true,0.05307559557813169,0.05475241526902028,0.16664147650409936
joint-86e6ae730070eee6983b,M2,291501,sham,1,0.0660007618367672,-0.0660007618367672,0.1878545079493691,true,0.03126689734073688,0.0329710795708845,0.15461231911233816
joint-9a206f19112cd83d8451,M2,291501,sham,1,0.1320015236735344,-0.1320015236735344,0.348933808713653,true,0.06380257542859381,0.06270366471082749,0.18703586605181166
joint-d9be6f5c2e8106f0264a,M2,291501,sham,1,0.0660007618367672,-0.0660007618367672,0.16686606469659074,true,0.031330730456957535,0.03218005997903684,0.09590838935069386
joint-6f8a92fc80c9c4920afe,M2,291501,sham,1,0.0660007618367672,-0.0660007618367672,0.23526458447269924,true,0.039398731939868724,0.03556907888503122,0.14337770454081325
joint-2a31fc646bfd539046d7,M2,291501,sham,1,0.0660007618367672,0.1320015236735344,0.37673233960049485,true,0.05342911105801836,0.051932811475105936,0.27296992843305234
joint-e8ed568644109d3c68dd,M2,291501,sham,1,0.0660007618367672,0.0660007618367672,0.24377205594911777,true,0.03771670524324442,0.0380130541853094,0.11343491363542826
joint-310c46903e1f1c1d5a60,M2,291501,sham,0,-0.0660007618367672,0.0660007618367672,0.18402460974768559,true,0.031552173536092486,0.032578817690392475,0.09999958378669355
joint-1285f64b5ffdc41a435d,M2,291501,sham,0,0.0660007618367672,0.0660007618367672,0.20961933664779706,true,0.03764762476439856,0.03547864694299042,0.14253881943902552
joint-70524fe1e7c2518c400a,M2,291501,sham,1,0.0660007618367672,-0.1320015236735344,0.37013712412332594,true,0.05404695304266255,0.05564486741291172,0.1679798163696423
joint-41ae71c0e6c6d51506eb,M2,291501,sham,0,-0.0660007618367672,-0.0660007618367672,0.18808069587044374,true,0.03552024928291463,0.037179690820391985,0.1579494317659039
joint-f2a415df92c5dbd9c22b,M2,291501,sham,1,0.1320015236735344,0.0660007618367672,0.32286413208871656,true,0.05345223860535112,0.05572779505958026,0.16630197943197206
joint-05f0f9643ecc833a54a1,M2,291501,sham,1,0.1320015236735344,-0.1320015236735344,0.34396003573217815,true,0.0626959340056613,0.06727940715050555,0.2039239693157355
joint-6731d5008cdff8444b8a,M2,291501,sham,0,0.0660007618367672,0.1320015236735344,0.3060299499406964,true,0.048581985359816664,0.04909394636561238,0.1486979876624788
