model_id,unit_id,stratum,route,metric_m1_x,metric_m1_y,metric_m2,metric_m3,metric_m4,metric_m5,paired_anchor_error,paired_future_error,unit_pass,autonomous_transition_count
development_model_3,joint_unit_0359,S1_no_contact,matched_wrong_vector,0.2330409667381657,0.24299165194802047,0.4192603364792256,0.19290219105511033,0.042070132914545894,0.4210927989333868,0.24299165194802047,0.19290219105511033,true,12
development_model_3,joint_unit_0360,S1_no_contact,matched_wrong_vector,0.37447115821754345,0.3183521774373513,0.5839901276171623,0.2764568804919386,0.05847216092467033,5.9205736964941025,0.37447115821754345,0.2764568804919386,true,12
development_model_3,joint_unit_0361,S1_no_contact,matched_wrong_vector,0.6835737963542803,0.43165418140294937,1.144388735951227,0.4436761998507686,0.13614086647611767,8.663808554410934,0.6835737963542803,0.4436761998507686,false,12
development_model_3,joint_unit_0362,S1_no_contact,matched_wrong_vector,0.25926001268544063,0.42431758900132516,0.5621931148520629,0.2749246997795739,0.044196201376725724,2.5030361488461494,0.42431758900132516,0.2749246997795739,false,12
development_model_3,joint_unit_0368,S1_no_contact,matched_wrong_vector,0.5070579438133488,0.37124855763555303,0.7361800131953143,0.2200829640070608,0.08369006673071831,4.3233472853899,0.5070579438133488,0.2200829640070608,false,12
development_model_3,joint_unit_0369,S1_no_contact,matched_wrong_vector,0.03483688510043318,0.49019538874680035,0.6218773174377558,0.23553030733337862,0.08924384450802016,10.991057753562927,0.49019538874680035,0.23553030733337862,false,12
development_model_3,joint_unit_0373,S1_no_contact,matched_wrong_vector,0.3208839981253318,0.22822186750561102,0.6205113889967167,0.2633322495681598,0.09849557531105325,6.421326845884323,0.3208839981253318,0.2633322495681598,true,12
development_model_3,joint_unit_0374,S1_no_contact,matched_wrong_vector,0.39065122114337836,0.17816546621754334,0.6605616962151067,0.23297077402694732,0.10373282840781413,5.4366108030080795,0.39065122114337836,0.23297077402694732,false,12
development_model_3,joint_unit_0377,S1_no_contact,matched_wrong_vector,0.3674269383710176,0.3370813654578324,0.6334451589242773,0.2808424246615334,0.04212115231159862,6.290222704410553,0.3674269383710176,0.2808424246615334,true,12
development_model_3,joint_unit_0380,S1_no_contact,matched_wrong_vector,0.13326883186708735,0.21873564223367797,0.27479256069945807,0.13450133583786705,0.01751495335553931,0.4836419131606817,0.21873564223367797,0.13450133583786705,true,12
