public_unit_id,family,seed,route,edited_object,delta_vx,delta_vy,M1,joint_pass,anchor_rmse,k1_rmse,t19_rmse
joint-fe2aefddb9b7745686ad,M1,291301,single_only_addressable,1,-0.0660007618367672,0.0660007618367672,0.10296092173027024,true,0.021385397638920618,0.025325654429911026,0.12597906638595363
joint-8b6ff975d45da97a4933,M1,291301,single_only_addressable,1,0.1320015236735344,-0.1320015236735344,0.27366623067179907,true,0.049555717375060204,0.055740282678546214,0.16554969557477525
joint-175e17d0ef9573bac40e,M1,291301,single_only_addressable,0,-0.1320015236735344,0.1320015236735344,0.45165470325603263,false,0.0689040257091428,0.08095922962350238,0.2609037134078539
joint-a3d06b9cb0966439eddd,M1,291301,single_only_addressable,1,0.0660007618367672,0.1320015236735344,0.11473886119812589,true,0.03321748524977053,0.042999372155906615,0.1122689906394406
joint-04c90cd2b55e51d7395c,M1,291301,single_only_addressable,0,0.0660007618367672,-0.1320015236735344,0.25619833593659697,true,0.04552060443582278,0.04458720766665185,0.1787763278477851
joint-03d19206c4766692b70a,M1,291301,single_only_addressable,0,-0.0660007618367672,0.0660007618367672,0.21099631047550363,true,0.03428772591129549,0.038859332589828106,0.13159896941025254
joint-f3533a47857412ee6574,M1,291301,single_only_addressable,1,-0.0660007618367672,-0.0660007618367672,0.07897415152050016,true,0.016000415149642098,0.023016139961819112,0.07150041482462763
joint-19e423cc276169fd1073,M1,291301,single_only_addressable,1,0.1320015236735344,0.0660007618367672,0.13293315133037373,true,0.03823609816290796,0.03277249008262553,0.09167856977501512
joint-ff96f3eeddc533681410,M1,291301,single_only_addressable,0,-0.1320015236735344,0.0660007618367672,0.24655811642069228,true,0.04639783119653366,0.04274152039957644,0.17485819496881308
joint-c4e21270ec4d0d7be262,M1,291301,single_only_addressable,0,-0.0660007618367672,0.1320015236735344,0.3403184275364595,true,0.053102679627803115,0.06155973405774558,0.18415716238091606
joint-f3c2aa3445150de38445,M1,291301,single_only_addressable,1,-0.0660007618367672,-0.1320015236735344,0.16969894554326967,true,0.022908282135584487,0.025815072021668304,0.09561507688950437
joint-9b1bd063fe31242ee1d4,M1,291301,single_only_addressable,0,-0.1320015236735344,0.0660007618367672,0.3046205852431519,true,0.04818829045942862,0.05661528819077445,0.18468706022925566
joint-dc07119105a4b0f17fef,M1,291301,single_only_addressable,0,-0.1320015236735344,-0.1320015236735344,0.1456224914283129,true,0.038370139768809285,0.0429738563346481,0.11775276881624976
joint-e62d176dd1f3b78034aa,M1,291301,single_only_addressable,1,0.0660007618367672,0.0660007618367672,0.09604198205626427,true,0.019038066095582274,0.022729591623312215,0.06627526046660459
joint-7fb044ff7f38057c2332,M1,291301,single_only_addressable,1,-0.0660007618367672,-0.1320015236735344,0.1782384010911089,true,0.02349256677225874,0.02865676337940062,0.08537990457498065
joint-86e6ae730070eee6983b,M1,291301,single_only_addressable,1,0.0660007618367672,-0.0660007618367672,0.20351306390463314,true,0.02932754117340338,0.02756591995437255,0.13315633804588725
joint-9a206f19112cd83d8451,M1,291301,single_only_addressable,1,0.1320015236735344,-0.1320015236735344,0.21423832547648541,true,0.036866269561344756,0.04819792499730118,0.14536220707055622
joint-d9be6f5c2e8106f0264a,M1,291301,single_only_addressable,1,0.0660007618367672,-0.0660007618367672,0.12482201443057299,true,0.02179891621873222,0.02496475190802709,0.06922510749089121
joint-6f8a92fc80c9c4920afe,M1,291301,single_only_addressable,1,0.0660007618367672,-0.0660007618367672,0.2959670620009839,true,0.0419795095097637,0.03666276672985539,0.15386112688193324
joint-2a31fc646bfd539046d7,M1,291301,single_only_addressable,1,0.0660007618367672,0.1320015236735344,0.28354000087625697,true,0.057831762619320964,0.058339770846283986,0.21102981461195516
joint-e8ed568644109d3c68dd,M1,291301,single_only_addressable,1,0.0660007618367672,0.0660007618367672,0.15781718576641335,true,0.025722641720341662,0.029786699650707613,0.08262422910316884
joint-310c46903e1f1c1d5a60,M1,291301,single_only_addressable,0,-0.0660007618367672,0.0660007618367672,0.19315849918569983,true,0.03295174287595664,0.03467392079441504,0.11452234816716375
joint-1285f64b5ffdc41a435d,M1,291301,single_only_addressable,0,0.0660007618367672,0.0660007618367672,0.10151175992989987,true,0.021855290450667853,0.02086860554727502,0.13295344199954373
joint-70524fe1e7c2518c400a,M1,291301,single_only_addressable,1,0.0660007618367672,-0.1320015236735344,0.19254955193709974,true,0.03668991616265305,0.04100819789108733,0.11765323613085583
joint-41ae71c0e6c6d51506eb,M1,291301,single_only_addressable,0,-0.0660007618367672,-0.0660007618367672,0.19724647032760906,true,0.031147945475698872,0.04237819488443126,0.1567912593250162
joint-f2a415df92c5dbd9c22b,M1,291301,single_only_addressable,1,0.1320015236735344,0.0660007618367672,0.2170470737511854,true,0.038305668731713934,0.031247202702099224,0.07183900911671726
joint-05f0f9643ecc833a54a1,M1,291301,single_only_addressable,1,0.1320015236735344,-0.1320015236735344,0.21080842829199634,true,0.03968458609395822,0.05115146103920708,0.15542007180077164
joint-6731d5008cdff8444b8a,M1,291301,single_only_addressable,0,0.0660007618367672,0.1320015236735344,0.18157208744955622,true,0.033117724360450435,0.025526778413715638,0.07851449007772336
joint-cd5d57fb2d2fc404ed88,M1,291301,single_only_addressable,1,0.0660007618367672,-0.1320015236735344,0.16732585654622628,true,0.03209275925138221,0.038694485057385215,0.11562367062211983
joint-c73f7954cc710bf9d63c,M1,291301,single_only_addressable,0,-0.1320015236735344,0.1320015236735344,0.340178570690091,true,0.06744115180545052,0.06275092546689506,0.2850504787123896
joint-8c80649d97868318c9fe,M1,291301,single_only_addressable,1,-0.0660007618367672,0.1320015236735344,0.1977965358270802,true,0.033669667096689136,0.03671489337339049,0.1262818202715081
joint-e8ffd69e58705acdb563,M1,291301,single_only_addressable,0,-0.1320015236735344,-0.1320015236735344,0.36247750745829577,true,0.05529467797185088,0.06842911928747303,0.17600034045016658
joint-2474a6ed6bbe4f7e1b97,M1,291301,single_only_addressable,1,-0.0660007618367672,-0.0660007618367672,0.20299520706967367,true,0.03897129916821036,0.04163406779517879,0.16176018881169704
joint-1b6c644185589ebc48c8,M1,291301,single_only_addressable,1,-0.1320015236735344,0.1320015236735344,0.23640089357258656,true,0.03864611346477575,0.041353634946990604,0.12692954244546795
joint-efe7c8a0a11bb35094e0,M1,291301,single_only_addressable,0,-0.1320015236735344,0.0660007618367672,0.34989034602386265,true,0.07523804044017224,0.0724214138018965,0.28118159968497863
joint-9ea456682d298ae62b43,M1,291301,single_only_addressable,0,0.1320015236735344,0.1320015236735344,0.38309566524845334,true,0.07137349688741763,0.060221717773294804,0.28006490185126165
joint-7d924a87e8568d82b71b,M1,291301,single_only_addressable,1,-0.0660007618367672,-0.1320015236735344,0.1976607701072476,true,0.029605672694583404,0.03229538335258564,0.11151914344675547
joint-f012efad790d4bcb5275,M1,291301,single_only_addressable,1,0.0660007618367672,-0.1320015236735344,0.32683514753383247,true,0.051378709644520404,0.04980066514695005,0.18463157366614033
joint-99a2122f162a74088f58,M1,291301,single_only_addressable,0,0.1320015236735344,0.0660007618367672,0.1225296747742051,true,0.02833874359687893,0.031751889151431296,0.07002920386832928
joint-ce884c4d333127e8b6dc,M1,291301,single_only_addressable,0,0.1320015236735344,-0.1320015236735344,0.45748683638985094,false,0.0749562118587132,0.07947532825472926,0.24395989140668425
