model_id,unit_id,stratum,coefficient_max_abs_error,patch_max_abs_error,rollout_max_abs_error
development_model_1,joint_unit_0224,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0225,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0226,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0235,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0238,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0239,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0241,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0243,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0245,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0246,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0247,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0249,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0252,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0253,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0254,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0255,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0258,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0261,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0262,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0263,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0264,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0265,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0266,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0267,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0268,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0269,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0274,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0276,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0278,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0279,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0280,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0281,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0282,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0284,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0288,S1_no_contact,3.552713678800501e-15,0.0,0.0
