family,seed,public_unit_id,E_full_oracle,E_request_oracle,E_base_oracle,coefficient_decomposition_residual,hidden_decomposition_residual
M1,291301,joint-05f0f9643ecc833a54a1,0.4132166462276792,0.32790350584449535,1.7329172646684128,0.0,2.604068871647769e-08
M1,291301,joint-6731d5008cdff8444b8a,0.9005526457704506,0.7402318172779021,1.847543756361144,0.0,1.3877787807814457e-17
M1,291301,joint-cd5d57fb2d2fc404ed88,0.39595986156208623,0.32789340523682114,1.7015625822931506,0.0,1.9454300392851565e-09
M1,291301,joint-c73f7954cc710bf9d63c,0.82638382855667,0.6383346984009134,1.2854478352747956,0.0,9.288318114641925e-09
M1,291301,joint-8c80649d97868318c9fe,0.7188350052953969,0.6904596041475948,1.8056692863073094,3.725290298461914e-09,2.7295441240582363e-08
M1,291301,joint-e8ffd69e58705acdb563,0.12756441276111422,0.1647155376385339,1.5979886808622001,0.0,8.106168558619231e-08
M1,291301,joint-2474a6ed6bbe4f7e1b97,1.0762051906925774,1.4355524947776912,0.9383550594692448,0.0,6.397505192268227e-09
M1,291301,joint-1b6c644185589ebc48c8,0.6504244200425829,0.6192637125136878,1.798288710984517,0.0,2.5550257243267538e-08
M1,291301,joint-efe7c8a0a11bb35094e0,1.0518563704208068,1.0373137912240098,1.2690513011944469,0.0,1.481608391529221e-08
M1,291301,joint-9ea456682d298ae62b43,1.2266421286559854,1.320882586560671,1.6541845998655171,0.0,6.079626424515538e-08
M1,291301,joint-7d924a87e8568d82b71b,0.6683833889979401,0.6678966563920111,1.8489268329404052,5.960464477539063e-08,3.7957869791771515e-08
M1,291301,joint-f012efad790d4bcb5275,1.524200197214657,1.545290984565904,1.3592455716521024,5.960464477539063e-08,3.181185137535181e-08
M1,291301,joint-99a2122f162a74088f58,0.5419759334841024,0.4373077927644043,1.9075362851585071,0.0,2.7020561788049235e-08
M1,291301,joint-ce884c4d333127e8b6dc,0.156219712160666,0.28517156268824917,1.898908667138634,0.0,1.3510280894024618e-08
M1,291301,joint-50af49320c1511a0d6c6,0.41924034406494937,0.24404435758554371,1.3771945328376671,0.0,8.956507269175518e-08
M1,291301,joint-4664e26abb95085a572a,1.344165072629873,1.379583087853783,1.6363570608614129,5.960464477539063e-08,4.17029308863448e-08
M1,291301,joint-79aa8ba0c5489ddf2497,0.3280344857346381,0.2477892902805699,1.2168445988942163,0.0,3.838503115360936e-08
M1,291301,joint-d987f2e8f59153959f0b,1.086897277624425,0.8833708184277099,1.7601231164612825,0.0,4.221962779382693e-09
M1,291301,joint-cb8130fb1c35fd8e7b18,0.6489293305969046,0.5698433725556835,1.9049538660733103,0.0,1.0132710648314003e-07
M1,291301,joint-d18a1d26ca0c2d035ee3,0.9460851050911713,0.9336559928929269,0.600254298273071,0.0,3.1987525961341134e-09
M1,291301,joint-da2f34f1c087e97b1afb,0.16871160589611892,0.19460545611848407,1.5108556078955562,0.0,8.432949449854732e-09
M1,291301,joint-d61e8bcf8b85f15c898a,0.6711344439028807,0.6642692416575947,1.7724694819602376,0.0,3.8908599675480104e-09
M1,291301,joint-4de8fb543630717fe750,0.543979409758599,0.5698546343316845,1.8024100315420926,2.384185791015625e-07,5.263756619466875e-08
M1,291301,joint-dc3cf8ce3539277e0726,0.4648799755355895,0.2668816279109611,1.376635525659156,0.0,5.2352338464345394e-08
M1,291301,joint-afc74f4446a723051311,0.9876410953778854,1.0983656390199596,1.549984560129487,0.0,1.481608391529221e-08
M1,291301,joint-b8e91cf056a2850aa06d,0.3477267873116004,0.24887485991090977,1.3684645296489961,0.0,5.263756630569105e-08
M1,291301,joint-1f313d8436034e3c8a2f,0.17334622015621173,0.2213789463373189,1.8527773058303918,0.0,1.3877787807814457e-17
M1,291301,joint-86283058a19cd7794f47,0.6932522954410918,0.8478906940560903,1.0224126100540079,0.0,1.0395945937435869e-08
M1,291301,joint-a5ed81533299a3f553ae,0.5863361548096212,0.5595861162973246,1.847979492569303,0.0,4.559625421673985e-08
M1,291301,joint-1b3125f558c72b1ea5e4,0.6834278555615507,0.7207915415443755,1.7905066996389665,0.0,2.3345160471421877e-08
M1,291301,joint-3dcb938aa6f788013529,1.3238389269605055,1.1258075809352728,1.8925915797313815,0.0,2.0265421341036927e-08
M1,291301,joint-f3d0c584cd58125ec9bd,0.6487696801492857,0.5268418273295257,1.740940309426539,0.0,1.3510280894024618e-08
M1,291301,joint-a4fe2bd135f56d3a3b4d,0.5659670023799043,0.442680987077028,1.628748949307173,0.0,1.5175836143299648e-08
M1,291301,joint-baf9ad5b2a0e2663433b,1.2640451923206732,1.326136107144527,1.517926221807166,0.0,3.0398132233599995e-08
M1,291301,joint-63dd4abeb6e1325c7806,0.347874017216099,0.4131168888747063,1.7674748664976447,0.0,8.432949449854732e-09
M1,291301,joint-89a8114aac92bfca40db,1.067783418165535,1.200936938519898,1.5394338807841603,0.0,2.7020561788049235e-08
M1,291301,joint-fdd9add87d3e0887f0db,0.6446792415706405,0.8131465028684,1.5706160876094868,1.1920928955078125e-07,5.404112357609847e-08
M1,291301,joint-8deb233befdaaa44244e,0.5465218069169847,0.3926716354072894,1.4732919507407136,0.0,3.546448734681462e-08
M1,291301,joint-750a25537e1c577ecb17,1.298676961270881,1.392606150033628,1.496466852337032,0.0,1.6887851117530772e-08
M1,291301,joint-d20c3c92116f8fce3c1e,0.8361663642193786,0.7367330150072828,1.6027618978012337,0.0,4.084815463656355e-08
M1,291301,joint-83912571774477870e69,0.2260130419337864,0.16347756921202333,1.8799008634380157,1.1920928955078125e-07,3.373179779941893e-08
M1,291301,joint-0b091357d2bc89169b82,1.0519879220895694,0.9371508292166495,1.8329881025361539,1.1920928955078125e-07,3.485850630369214e-08
M1,291301,joint-79a2726c7c85c127d89d,0.9439596816036064,0.8527664287136029,1.776346570059149,0.0,4.897476824083924e-08
M1,291301,joint-ff0e8b614b34aecce4b3,0.4303743540799993,0.18230324580220078,1.250031055940603,0.0,4.113194962407363e-08
M1,291301,joint-a6e0056491e5774f3780,1.0310531058664454,0.7734698168937407,1.9343861866620278,5.960464477539063e-08,1.6865898899709464e-08
M1,291301,joint-009541860623d2bb9f1f,0.4214162799791114,0.2843977413092394,1.463220142837043,0.0,2.4172139845290985e-08
M1,291301,joint-ffe811f4bd9985f39189,0.997950510774103,1.0871905588201396,1.7053768659843724,0.0,3.3775702235061544e-08
M1,291301,joint-08c462a1ad92c4ade964,0.15639090326997834,0.0892495889917381,1.8600392775590397,0.0,1.943485150590618e-08
M1,291301,joint-2ce56f0ea0683dcda2f5,1.2248280040280264,1.1146504525925895,1.8627359598483546,0.0,4.45430368145594e-08
M1,291301,joint-e8e45e1d9d7dc3a06a25,0.19224188428572148,0.2827916837614396,1.8809849602151452,0.0,2.7552265358110617e-08
M1,291301,joint-cf92d455cc3ba4b96312,0.5392561046817254,0.5342791200378726,1.7389611884638978,0.0,2.6522972262910116e-08
M1,291302,joint-2a931d7a53cb9c33974d,0.4576506580054913,0.39747148211046207,1.694596830855186,0.0,7.018923220414308e-09
M1,291302,joint-4352a0ffd3ac22d2f5e6,0.43723002957860707,0.10025535140822064,1.607986047354226,0.0,1.9932242745213102e-08
M1,291302,joint-147f59a58d0ef285e900,0.5013139278394375,0.45305680709521995,1.7035103951443777,0.0,1.1854144332801297e-08
M1,291302,joint-d0326bfd1d59b011ffc1,0.19575842860263834,0.10445076537890202,1.9078837529108312,0.0,2.5334088604722638e-08
M1,291302,joint-b0a6408213b275a6eec4,0.7700950840136341,0.9341291721725704,1.8407232279613674,1.4901161193847656e-08,4.447808832352962e-08
M1,291302,joint-f16075ae76c562b01afa,0.5368214011735554,0.6220303238650638,1.179718058667926,1.1920928955078125e-07,4.206753079216696e-08
M1,291302,joint-6c84dffefac07a85efd4,0.26688693968168276,0.16788925723754192,1.82189651654562,0.0,2.9681920477031554e-08
M1,291302,joint-530af393a720d348afb0,0.9324257608478488,0.7714897884097148,1.5037892612246728,0.0,2.0249400267680073e-08
M1,291302,joint-66b0d86cfbc4d904308f,0.510480424490025,0.7105235605736179,1.9865677158029686,5.960464477539063e-08,2.283832323257684e-08
M1,291302,joint-cb84ae0ab47be6c0b097,0.5640470732740382,0.6424263637684882,1.9978063219719637,0.0,4.827678301566607e-08
M1,291302,joint-bd7b1bc3eac5c32be6ce,0.9676782919763666,0.8680962544517665,1.0142713350265768,0.0,1.6410692360580015e-08
M1,291302,joint-f42e2b2aa0bcf1904b2c,0.6100473400412186,0.6460502207309238,1.2425486093272502,0.0,1.1516118725296565e-08
M1,291302,joint-0cc5980f554a68da719e,0.14207559449902177,0.16301001103464624,1.9619796863397037,2.384185791015625e-07,7.032810600549055e-08
M1,291302,joint-c71196ce6b27a5f15741,0.8637073254557635,0.8209023834242261,1.3978339492401162,0.0,1.9718737975793488e-08
M1,291302,joint-08a29e94c959b15daf6c,0.8114747457572018,0.7090822246647226,1.37872883885685,2.384185791015625e-07,6.196967738958392e-08
M1,291302,joint-009344968abd7434a0a8,0.24569302499840268,0.14426695822424093,1.8014931744292844,0.0,4.417517038279861e-08
M1,291302,joint-0d9b039cb21daac03d2a,0.8673995617628817,0.7368942066946862,1.5382666677131862,0.0,1.5770671546455617e-08
