model_id,stratum,route,unit_count,joint_coverage,median_m1_x,median_m1_y,median_m2,median_m3,median_m4,median_m5,cell_pass
development_model_2,S1_no_contact,joint_aware_affine,256,0.98046875,0.09860084582444831,0.13225060898417929,0.2263020504653181,0.12505564742639133,0.049876971054403585,0.8303298614919186,true
development_model_2,S2_interaction_sensitive,joint_aware_affine,256,0.99609375,0.15966482847013724,0.19852254855738802,0.3206196005336346,0.2531831850998758,0.06967111551916319,2.908432763069868,true
development_model_3,S1_no_contact,joint_aware_affine,256,0.984375,0.1477622362736397,0.15074344802187042,0.26940754261255306,0.13798202261062995,0.047886223271444144,3.9741089567542076,true
development_model_3,S2_interaction_sensitive,joint_aware_affine,256,0.94140625,0.17592395493151844,0.19136741876813174,0.35957565656273127,0.27580001657687003,0.08741209414437938,2.2765283472836018,true
development_model_1,S1_no_contact,minimal_joint_correction,256,1.0,0.07568847700471067,0.05161264495536404,0.12546220888543214,0.07896825016810816,0.035938730673361674,2.038995176553726,true
development_model_1,S2_interaction_sensitive,minimal_joint_correction,256,0.91796875,0.189956910517176,0.19271070889729253,0.3434479191997436,0.2536833652785872,0.0866878460478479,3.1172615475952625,true
development_model_2,S1_no_contact,minimal_joint_correction,256,0.9765625,0.09675976116355661,0.13593520561431327,0.22452909888745803,0.1259307514433502,0.05029933528400341,0.8140213787555695,true
development_model_2,S2_interaction_sensitive,minimal_joint_correction,256,0.99609375,0.16296982085792122,0.19856937167488045,0.32148015137639163,0.25332548066238747,0.06997428175066198,2.9280029237270355,true
development_model_3,S1_no_contact,minimal_joint_correction,256,0.984375,0.14494283531383653,0.14899960662811024,0.26663078672229734,0.13800339894448865,0.0482587037968106,3.895510546863079,true
development_model_3,S2_interaction_sensitive,minimal_joint_correction,256,0.94140625,0.17853446159790243,0.19019135424524825,0.35798272090176886,0.2773138520300612,0.08743809698288799,2.3303973488509655,true
development_model_1,S1_no_contact,native_joint,256,1.0,0.03742253822896549,0.035675464809723424,0.08660495908452792,0.06911167021107464,0.03300630222119831,3.475007973611355,true
development_model_1,S2_interaction_sensitive,native_joint,256,0.9921875,0.1269476173518745,0.16610915923891728,0.29608921274700944,0.21796634980415402,0.07065093248710469,2.392728812992573,true
development_model_2,S1_no_contact,native_joint,256,1.0,0.037475694245025365,0.03428473334708098,0.07896994957168227,0.06126386230812954,0.03444110775368178,1.348792016506195,true
development_model_2,S2_interaction_sensitive,native_joint,256,1.0,0.11652930227368688,0.10287915399773052,0.2714099025496447,0.19752929183481277,0.05590985605538447,2.2178219631314278,true
development_model_3,S1_no_contact,native_joint,256,1.0,0.045827221801150994,0.041288121512637194,0.084262312602416,0.07287602628499962,0.03753117751295616,2.5151670910418034,true
development_model_3,S2_interaction_sensitive,native_joint,256,0.9765625,0.17386197071719262,0.17793046431274115,0.3088796555683298,0.24700093573150125,0.05959934083420834,2.308508101850748,true
development_model_1,S1_no_contact,original_affine,256,1.0,0.07771825070596047,0.058010168238442045,0.13745702476401173,0.07824266671006984,0.03715580421208063,2.0446941256523132,true
development_model_1,S2_interaction_sensitive,original_affine,256,0.9140625,0.20206119596580352,0.1978310952132224,0.3518599707278364,0.25002190070461755,0.0835845373387635,3.0050129629671574,true
development_model_2,S1_no_contact,original_affine,256,0.9765625,0.11502186083042756,0.12283800373469683,0.2417210461968755,0.1340905452692048,0.05401151492428532,0.9538024198263884,true
development_model_2,S2_interaction_sensitive,original_affine,256,0.984375,0.1723856811563575,0.20034441415137366,0.32661593601053784,0.25447886843090384,0.07402932212678902,3.1671086326241493,true
development_model_3,S1_no_contact,original_affine,256,0.984375,0.1615755899768962,0.14678808675224808,0.2761555209761852,0.14051016841844238,0.04966705218620983,4.052094370126724,true
development_model_3,S2_interaction_sensitive,original_affine,256,0.94140625,0.17400320206862163,0.1933858664738649,0.36344165329621714,0.2750659271191092,0.08617572763844722,2.3041119799017906,true
development_model_1,S1_no_contact,rank4_oracle,256,1.0,0.053589739448710566,0.03213509820239473,0.09553205435350431,0.07930730568128204,0.03778189647569588,2.3481455631554127,true
