public_unit_id,family,seed,stratum,vector_class,E_add,R_norm,R_norm_error,cos_add,cos_xy
joint-d20c3c92116f8fce3c1e,M2,291501,future_contact,P2,0.40558219024488235,1.3741962593426387,0.3178690215493077,0.9666035572783294,0.4312796434583071
joint-83912571774477870e69,M2,291501,no_contact_within_horizon,P2,0.7479906689613114,1.0993683158160825,0.09473575650583116,0.7241176306074962,-0.06733565066711407
joint-0b091357d2bc89169b82,M2,291501,future_contact,P3,0.2979343899537438,1.0243870958193668,0.02409447844562509,0.9559013938287186,0.3205530068998265
joint-79a2726c7c85c127d89d,M2,291501,future_contact,P3,0.6245790860845084,1.534134027924613,0.4279660706568256,0.8888660412885845,-0.10432612144152864
joint-ff0e8b614b34aecce4b3,M2,291501,future_contact,P1,0.11024978170382373,0.9715563089054327,0.028856051056416393,0.9943375923186493,0.2910457481211529
joint-a6e0056491e5774f3780,M2,291501,future_contact,P1,0.19058946228410714,1.0491457722355912,0.04797628280601189,0.9829784579731583,0.26539905249867746
joint-009541860623d2bb9f1f,M2,291501,no_contact_within_horizon,P1,0.6394848305802517,0.963641675576991,0.0370357593043252,0.7961453545087253,-0.2040410321878503
joint-ffe811f4bd9985f39189,M2,291501,no_contact_within_horizon,P1,0.6905766983631821,1.087165992413199,0.0835743033924253,0.7646296647742843,-0.10074776673647375
joint-08c462a1ad92c4ade964,M2,291501,no_contact_within_horizon,P2,0.6764518573101197,1.1672960585899874,0.1546900131523079,0.7818233879538659,-0.0827897874418516
joint-2ce56f0ea0683dcda2f5,M2,291501,future_contact,P2,0.5413523834873187,1.1062989580361922,0.10102017221266602,0.8582015183213826,-0.07911973723635796
joint-e8e45e1d9d7dc3a06a25,M2,291501,no_contact_within_horizon,P3,1.0697228770440337,1.1792598891880646,0.16488702914500647,0.4375734681433961,0.04125698617113922
joint-cf92d455cc3ba4b96312,M2,291501,future_contact,P3,0.5908200985759551,0.9831461366472765,0.016997505950200945,0.8255976599423317,-0.02925132265743011
joint-2a931d7a53cb9c33974d,M2,291502,future_contact,P0,0.4352078740622022,1.2694262266545713,0.2385650083468617,0.9325350381123427,0.27120118952050387
joint-4352a0ffd3ac22d2f5e6,M2,291502,no_contact_within_horizon,P0,0.429109658325893,1.1931929226587683,0.17663284224526413,0.9228526545208556,0.41648878414986773
joint-147f59a58d0ef285e900,M2,291502,future_contact,P1,0.419757911146832,1.2829662173402263,0.24917475429714167,0.9417320780287313,0.2276326255504155
joint-d0326bfd1d59b011ffc1,M2,291502,no_contact_within_horizon,P2,0.6147314674573222,0.9553058030942503,0.045723777094403686,0.8119993519145874,0.29708475534796863
joint-b0a6408213b275a6eec4,M2,291502,no_contact_within_horizon,P2,0.6911134561856215,1.3430110729662077,0.29491416245588825,0.7997538549207888,0.5260590751661538
joint-f16075ae76c562b01afa,M2,291502,future_contact,P2,0.3637511590494204,1.1645530282892762,0.1523373466942792,0.9450837713236977,0.3348316514644445
joint-6c84dffefac07a85efd4,M2,291502,no_contact_within_horizon,P3,0.43098064477634146,0.9357410537390262,0.06641649276798565,0.9092317721284923,0.5597228070536864
joint-530af393a720d348afb0,M2,291502,no_contact_within_horizon,P0,0.5400812472574098,0.9896285499551143,0.010425608324949067,0.8542065072278858,0.02458255999070935
joint-66b0d86cfbc4d904308f,M2,291502,no_contact_within_horizon,P0,0.8189103033963071,1.4469830471667517,0.3694807317318918,0.7221565550246234,0.35114729179846005
joint-cb84ae0ab47be6c0b097,M2,291502,no_contact_within_horizon,P1,0.6815957142518505,1.2728254773726417,0.24123921463293715,0.7935572351628206,0.4721827316686454
joint-bd7b1bc3eac5c32be6ce,M2,291502,future_contact,P0,0.4072803994835996,0.8400587319301996,0.17428347062447125,0.9316557781463018,0.12670768869286536
joint-f42e2b2aa0bcf1904b2c,M2,291502,future_contact,P2,0.5269691143661169,0.8486372531738414,0.16412344760895592,0.8737131665029736,-0.17714080438863516
joint-0cc5980f554a68da719e,M2,291502,future_contact,P3,0.39191471934395367,0.8461350463754428,0.1670763028299191,0.9366539733801846,0.06022576919989375
joint-c71196ce6b27a5f15741,M2,291502,no_contact_within_horizon,P0,0.5684372095186315,0.9476596530728917,0.05375985693459194,0.8397682181288624,0.08135264201409277
joint-08a29e94c959b15daf6c,M2,291502,future_contact,P2,0.3748036897413645,0.8444775394470891,0.16903713936139853,0.9435789857695733,0.08418726579229426
joint-009344968abd7434a0a8,M2,291502,no_contact_within_horizon,P3,0.5113820794663739,1.0143256764704427,0.014224033552879115,0.8693387338282056,0.4765230378227364
joint-0d9b039cb21daac03d2a,M2,291502,no_contact_within_horizon,P0,0.5903131095466628,0.9800363687385143,0.02016559704844635,0.8259508350903729,0.13014329501172398
joint-96bbd61ef63ebf358d5e,M2,291502,no_contact_within_horizon,P0,0.5414000151468379,1.3290015181765165,0.2844279220754644,0.8911819409535181,0.4430163264636713
joint-71226efdc82c7b8eb4e1,M2,291502,future_contact,P3,0.6809952323729423,0.8244511420365379,0.19303739642593312,0.784645541686613,0.2286245475426495
joint-2b6a5ce6c26b3991652e,M2,291502,no_contact_within_horizon,P1,0.3387415783033374,1.1448173493110763,0.13524510402915912,0.9515238839209689,0.5352939247710004
joint-c45a492c6ab0e2e5bfbe,M2,291502,future_contact,P2,0.5362882386472466,0.9285198562762599,0.07416351309088823,0.8587510093452728,0.07163362906644176
joint-b2b2ebaf8b3253aafde3,M2,291502,future_contact,P3,0.27453908298099994,0.8737025021866527,0.1350153477853679,0.9712705660745529,0.2868571320432425
joint-58d5f239e12552c3626e,M2,291502,future_contact,P3,0.3128682813592624,1.1812626943010873,0.16658394626634723,0.9646236084292329,0.21773851114671314
joint-fc2b76f0772372bf8c3c,M2,291502,no_contact_within_horizon,P2,0.7549702074407467,1.51122457457414,0.41292029870220537,0.7891582762724387,-0.05211249065525732
joint-fe2aefddb9b7745686ad,M2,291502,future_contact,P0,0.4102038720178248,1.215395941813856,0.19506990174189295,0.934150024012206,0.046085093319546036
joint-8b6ff975d45da97a4933,M2,291502,no_contact_within_horizon,P3,0.5106080682960938,0.9848576352033818,0.015258181044363073,0.8697485210876477,0.45780540309726986
joint-175e17d0ef9573bac40e,M2,291502,no_contact_within_horizon,P3,0.7919310987170006,1.169474638359668,0.1565546209238146,0.6967769698134261,0.6717009340762007
joint-a3d06b9cb0966439eddd,M2,291502,future_contact,P1,0.2662595161521998,1.0679140062258767,0.06570721878111675,0.9666741572200245,0.1377384984088035
joint-04c90cd2b55e51d7395c,M2,291502,future_contact,P1,0.12259851954417969,0.9409539683251121,0.06086105841993418,0.9943304461104053,0.06524432944148072
joint-03d19206c4766692b70a,M2,291502,no_contact_within_horizon,P0,0.4520190470045061,1.267541881455263,0.2370794985055624,0.9246323508872267,0.5673756483428722
joint-f3533a47857412ee6574,M2,291502,no_contact_within_horizon,P0,0.48551818536685115,0.9712377929417846,0.029183945778969846,0.8825368293674037,0.09098450528334591
joint-19e423cc276169fd1073,M2,291502,future_contact,P2,0.5093203753532083,0.9283791115395129,0.07431510425384961,0.8728798539701276,-0.05266070391555507
joint-ff96f3eeddc533681410,M2,291502,future_contact,P2,0.11741094464832406,0.9783219176147705,0.021916503992989327,0.9933466834985208,0.3459453822996146
joint-c4e21270ec4d0d7be262,M2,291502,no_contact_within_horizon,P1,0.9567290425787548,1.0682374674484283,0.06601006362054883,0.5440154945111173,0.33361463025313426
joint-f3c2aa3445150de38445,M2,291502,no_contact_within_horizon,P1,0.49941011588008516,0.947318096538021,0.0541203430021878,0.8766682932830596,0.3702935111427286
joint-9b1bd063fe31242ee1d4,M2,291502,no_contact_within_horizon,P2,0.6779463014784417,1.3019255979554778,0.2638443977261361,0.8011810597321976,0.591405578461873
joint-dc07119105a4b0f17fef,M2,291502,no_contact_within_horizon,P3,0.9940391163924649,0.8348649466164113,0.18048530779184774,0.5182404493741131,0.5774628660824612
joint-e62d176dd1f3b78034aa,M2,291502,no_contact_within_horizon,P0,0.661008597188883,0.9611182527331417,0.03965782583064217,0.7822343828081568,0.13196159651999662
joint-7fb044ff7f38057c2332,M2,291502,no_contact_within_horizon,P1,0.5640477791787124,0.9327224383644902,0.06964761610919931,0.8431584393962291,0.364030054052523
joint-86e6ae730070eee6983b,M2,291502,future_contact,P0,0.3576059528163857,0.9872022527958091,0.012880343828138234,0.9361392919884731,0.26846929701648964
joint-9a206f19112cd83d8451,M2,291502,no_contact_within_horizon,P3,0.4305967482177629,0.921815057830221,0.08141066358265077,0.9104552060043866,0.5543340272881591
joint-d9be6f5c2e8106f0264a,M2,291502,no_contact_within_horizon,P0,0.4198767013719623,1.2071624901901616,0.18827255624436653,0.9288440220392535,0.44431676154771077
joint-6f8a92fc80c9c4920afe,M2,291502,future_contact,P0,0.39386689517205226,0.8288957103375373,0.18766093352467644,0.9394095777270978,-0.04603483783165244
joint-2a31fc646bfd539046d7,M2,291502,future_contact,P1,0.4566199960406154,0.849786007054223,0.16277071760053544,0.9083334767514986,-0.12132910284225466
joint-e8ed568644109d3c68dd,M2,291502,no_contact_within_horizon,P0,0.47122115201029224,0.9960923722194737,0.0039152825056801505,0.8889825521903535,0.03928926416264247
joint-310c46903e1f1c1d5a60,M2,291502,no_contact_within_horizon,P0,0.548816863090675,1.3235741940025039,0.2803358000503103,0.8859738462220996,0.22193163185301656
joint-1285f64b5ffdc41a435d,M2,291502,future_contact,P0,0.45746268635194953,1.0223096744527576,0.022064454154577924,0.8955946394676284,-0.18668224181793566
joint-70524fe1e7c2518c400a,M2,291502,no_contact_within_horizon,P1,0.4147698726183384,1.0905230217665953,0.08665741763945514,0.9175784932199156,0.4460034180686875
joint-41ae71c0e6c6d51506eb,M2,291502,future_contact,P0,0.42727909002656933,0.8180834517680377,0.2007909283066728,0.9280194400192155,0.11606222290696659
joint-f2a415df92c5dbd9c22b,M2,291502,no_contact_within_horizon,P2,0.38615791595818194,0.9518006661247664,0.04939965043745378,0.9266159465680539,-0.04233764058085292
joint-05f0f9643ecc833a54a1,M2,291502,no_contact_within_horizon,P3,0.438298502169944,0.9235121978300551,0.07957127116796449,0.9069625539324099,0.5479780138437943
joint-6731d5008cdff8444b8a,M2,291502,no_contact_within_horizon,P1,0.6230613927043042,1.0267747903839202,0.02642261808111873,0.8062124677334155,0.33171717138887236
joint-cd5d57fb2d2fc404ed88,M2,291502,no_contact_within_horizon,P1,0.30491453163333343,0.9872413514608996,0.012840739085808423,0.9535940913718981,0.5389957718316755
joint-c73f7954cc710bf9d63c,M2,291502,future_contact,P3,0.28883688007037,1.0086169774016838,0.008580063159791974,0.9583226696102592,0.16559640062927142
joint-8c80649d97868318c9fe,M2,291502,no_contact_within_horizon,P1,0.7549447199220122,1.2010337750293143,0.18318266512482848,0.7294568441775158,0.05377484710726103
joint-e8ffd69e58705acdb563,M2,291502,future_contact,P3,0.6083544008900476,0.7714917526932933,0.2594292971993865,0.8456623141692104,0.12679753348005968
joint-2474a6ed6bbe4f7e1b97,M2,291502,future_contact,P0,0.2310947685652284,1.060883688377797,0.05910222909652828,0.975021324024211,-0.37620532718005834
joint-1b6c644185589ebc48c8,M2,291502,no_contact_within_horizon,P3,1.047082508566724,1.736680261569329,0.5519753952254487,0.5652286092171848,0.038654396759681256
joint-efe7c8a0a11bb35094e0,M2,291502,future_contact,P2,0.2307355601154665,1.1485122332040478,0.13846739455223794,0.982854688166499,0.2712944081961065
joint-9ea456682d298ae62b43,M2,291502,future_contact,P3,0.35498259923553055,0.7659718337431477,0.266609880487903,0.9716188277217422,0.20397655800582606
joint-7d924a87e8568d82b71b,M2,291502,no_contact_within_horizon,P1,0.6233355294760212,0.9360442836659156,0.06609249201481965,0.807699078202175,0.3459855804176227
joint-f012efad790d4bcb5275,M2,291502,future_contact,P1,0.15800900018181133,1.0046225683304888,0.004611917073000912,0.9875271464591414,0.3977781184503579
joint-99a2122f162a74088f58,M2,291502,no_contact_within_horizon,P2,0.7099595432803739,0.7793956841875913,0.24923642344519284,0.7752651185464837,0.302568242648225
joint-ce884c4d333127e8b6dc,M2,291502,no_contact_within_horizon,P3,0.45628247945590666,1.120486585958163,0.11376304270852726,0.9020439768904605,0.40254827165101353
joint-50af49320c1511a0d6c6,M2,291502,future_contact,P3,0.5329249361613384,1.2361178950979435,0.21197573887014737,0.878945436403623,0.12152585101051007
joint-4664e26abb95085a572a,M2,291502,future_contact,P3,0.619757962740229,1.218688801778781,0.1977755281440557,0.825687300745933,-0.40949474720597373
joint-79aa8ba0c5489ddf2497,M2,291502,future_contact,P0,0.6613407462008988,0.9285775882360423,0.0741013386907547,0.7837606306624368,-0.25426096215941585
joint-d987f2e8f59153959f0b,M2,291502,future_contact,P0,0.1619483270324241,0.9415913780772424,0.060183879750420076,0.9886860877899929,0.2944521005705695
joint-cb8130fb1c35fd8e7b18,M2,291502,no_contact_within_horizon,P3,1.0063621965643759,0.9397241800083846,0.062168872298774325,0.49506122582656426,0.3540015965670732
joint-d18a1d26ca0c2d035ee3,M2,291502,future_contact,P0,0.4176586482804659,1.0160300172061898,0.01590289321414147,0.912901565824577,0.038487160202068486
joint-da2f34f1c087e97b1afb,M2,291502,no_contact_within_horizon,P0,0.8401434717629217,1.5098128336458871,0.41198569191635537,0.7179642506293402,0.4383301100531937
joint-d61e8bcf8b85f15c898a,M2,291502,no_contact_within_horizon,P0,0.6590036423614312,0.9779988325824484,0.02224680262651032,0.7830777017854923,0.2660376758674288
joint-4de8fb543630717fe750,M2,291502,no_contact_within_horizon,P1,0.6006946957560275,0.9447369733841572,0.05684872527400143,0.8210534590454227,0.12495571155129183
joint-dc3cf8ce3539277e0726,M2,291502,future_contact,P1,0.539090544058365,0.7234745758620926,0.3236898740089068,0.9036977201811623,0.09777023348142838
joint-afc74f4446a723051311,M2,291502,future_contact,P2,0.4080984313556969,0.9433346782358095,0.05833415132230886,0.9183588930579452,-0.0406497175035704
joint-b8e91cf056a2850aa06d,M2,291502,future_contact,P3,0.6956556630464491,0.7873254637898005,0.23911356612942752,0.7832805523968139,-0.21468087826364868
joint-1f313d8436034e3c8a2f,M2,291502,no_contact_within_horizon,P0,0.582485720946652,1.5232282286628172,0.4208319173562026,0.9125970172240384,0.48906186661193135
joint-86283058a19cd7794f47,M2,291502,future_contact,P3,0.8388993176426663,0.9528168563351941,0.04833256972978513,0.6490866745817956,-0.13192979742655087
joint-a5ed81533299a3f553ae,M2,291502,no_contact_within_horizon,P1,0.7633526899899948,0.9244747863605917,0.07852950125743127,0.711281944707732,0.14902877207486406
joint-1b3125f558c72b1ea5e4,M2,291502,no_contact_within_horizon,P1,0.524734559072417,1.2300803275829981,0.20707947422996553,0.8823633003614273,0.043654502759847995
