model_id,stratum,operator_or_layer,control,denominator,intended_median_anchor,control_median_anchor,dominance_fraction_anchor,intended_median_future,control_median_future,dominance_fraction_future,pair_pass
development_model_1,S1_no_contact,original_affine,matched_wrong_vector,256,0.08333956878877988,0.37562150748053735,0.9921875,0.07824266671006984,0.22636203813091937,0.99609375,true
development_model_1,S2_interaction_sensitive,original_affine,matched_wrong_vector,256,0.24306668985786306,0.29020177970794514,0.6640625,0.25002190070461755,0.2936382410226102,0.6484375,false
development_model_2,S1_no_contact,original_affine,matched_wrong_vector,256,0.18033097247622681,0.3025614436972236,0.8671875,0.1340905452692048,0.21330169559666062,0.90625,true
development_model_2,S2_interaction_sensitive,original_affine,matched_wrong_vector,256,0.2606149160211597,0.29805861011795354,0.7265625,0.25447886843090384,0.278949387221598,0.703125,false
development_model_3,S1_no_contact,original_affine,matched_wrong_vector,256,0.19815867992908118,0.3569675213421304,0.83984375,0.14051016841844238,0.22114977540531375,0.78515625,false
development_model_3,S2_interaction_sensitive,original_affine,matched_wrong_vector,256,0.2625915898322797,0.34437931785019466,0.8203125,0.2750659271191092,0.3112097674818407,0.73046875,false
development_model_1,S1_no_contact,original_affine,no_patch,256,0.08333956878877988,0.3331485146434702,1.0,0.07824266671006984,0.20630086036727294,1.0,true
development_model_1,S2_interaction_sensitive,original_affine,no_patch,256,0.24306668985786306,0.3295746390444808,0.80078125,0.25002190070461755,0.31752528388947,0.66796875,false
development_model_2,S1_no_contact,original_affine,no_patch,256,0.18033097247622681,0.338068478933661,0.89453125,0.1340905452692048,0.2063104935502021,0.98046875,true
development_model_2,S2_interaction_sensitive,original_affine,no_patch,256,0.2606149160211597,0.32593180119551246,0.8984375,0.25447886843090384,0.318915237064719,0.65625,false
development_model_3,S1_no_contact,original_affine,no_patch,256,0.19815867992908118,0.3334252125703959,0.81640625,0.14051016841844238,0.2039934162953374,0.85546875,true
development_model_3,S2_interaction_sensitive,original_affine,no_patch,256,0.2625915898322797,0.3258863525139992,0.7734375,0.2750659271191092,0.31859921873377633,0.70703125,false
development_model_1,S1_no_contact,original_affine,random_equal_norm,256,0.08333956878877988,0.33387926531014034,1.0,0.07824266671006984,0.2140320499900867,1.0,true
development_model_1,S2_interaction_sensitive,original_affine,random_equal_norm,256,0.24306668985786306,0.322934239507535,0.77734375,0.25002190070461755,0.3266769212526319,0.66015625,false
development_model_2,S1_no_contact,original_affine,random_equal_norm,256,0.18033097247622681,0.32957341525068673,0.89453125,0.1340905452692048,0.20767910225236746,0.96484375,true
development_model_2,S2_interaction_sensitive,original_affine,random_equal_norm,256,0.2606149160211597,0.327683913854076,0.83984375,0.25447886843090384,0.32251714816949273,0.65234375,false
development_model_3,S1_no_contact,original_affine,random_equal_norm,256,0.19815867992908118,0.32164763289321746,0.83984375,0.14051016841844238,0.2071573800004371,0.83984375,true
development_model_3,S2_interaction_sensitive,original_affine,random_equal_norm,256,0.2625915898322797,0.32212569421424775,0.7265625,0.2750659271191092,0.3209505649138773,0.71484375,false
development_model_1,S1_no_contact,original_affine,wrong_object,256,0.08333956878877988,0.3319591054195698,1.0,0.07824266671006984,0.26042850881952107,1.0,true
development_model_1,S2_interaction_sensitive,original_affine,wrong_object,256,0.24306668985786306,0.336864922773229,0.8203125,0.25002190070461755,0.36016206913818083,0.73828125,false
development_model_2,S1_no_contact,original_affine,wrong_object,256,0.18033097247622681,0.3312976693116771,0.9609375,0.1340905452692048,0.24713598125862515,1.0,true
development_model_2,S2_interaction_sensitive,original_affine,wrong_object,256,0.2606149160211597,0.3197178086728295,0.71875,0.25447886843090384,0.35531105890234593,0.7421875,false
development_model_3,S1_no_contact,original_affine,wrong_object,256,0.19815867992908118,0.32161853330445506,0.8203125,0.14051016841844238,0.2618988512676657,0.984375,true
development_model_3,S2_interaction_sensitive,original_affine,wrong_object,256,0.2625915898322797,0.31897288893343645,0.75,0.2750659271191092,0.34970585987043246,0.79296875,false
development_model_1,S1_no_contact,rank4_oracle,matched_wrong_vector,256,0.0635650517778387,0.4200314309938453,1.0,0.07930730568128204,0.2339242056687828,0.9765625,true
development_model_1,S2_interaction_sensitive,rank4_oracle,matched_wrong_vector,256,0.23264516537881685,0.3509065908223108,0.89453125,0.2122302621450859,0.33236872777274007,0.86328125,true
development_model_2,S1_no_contact,rank4_oracle,matched_wrong_vector,256,0.1297768924602222,0.3326124672265553,0.9140625,0.0989914942065113,0.19708225547998381,0.80859375,true
development_model_2,S2_interaction_sensitive,rank4_oracle,matched_wrong_vector,256,0.2514168467276262,0.40370664888988794,0.94921875,0.20764159200239063,0.3525089979513436,0.86328125,true
development_model_3,S1_no_contact,rank4_oracle,matched_wrong_vector,256,0.10354761827602053,0.353338804974928,0.99609375,0.08205055746195056,0.22840799296563175,1.0,true
development_model_3,S2_interaction_sensitive,rank4_oracle,matched_wrong_vector,256,0.24243305228074086,0.32253668250588935,0.828125,0.23906611127409355,0.2977729262880354,0.8359375,true
development_model_1,S1_no_contact,rank4_oracle,wrong_object,256,0.0635650517778387,0.33332386679749026,1.0,0.07930730568128204,0.2692067371991844,1.0,true
development_model_1,S2_interaction_sensitive,rank4_oracle,wrong_object,256,0.23264516537881685,0.33199673764916726,0.91015625,0.2122302621450859,0.37564167785153374,0.88671875,true
development_model_2,S1_no_contact,rank4_oracle,wrong_object,256,0.1297768924602222,0.33383159052166445,0.8359375,0.0989914942065113,0.2531662851987869,0.94140625,true
development_model_2,S2_interaction_sensitive,rank4_oracle,wrong_object,256,0.2514168467276262,0.3285287645993463,0.7578125,0.20764159200239063,0.3845926505774604,0.953125,false
development_model_3,S1_no_contact,rank4_oracle,wrong_object,256,0.10354761827602053,0.31433960286942997,1.0,0.08205055746195056,0.2557806652211526,1.0,true
development_model_3,S2_interaction_sensitive,rank4_oracle,wrong_object,256,0.24243305228074086,0.3170051776563436,0.78515625,0.23906611127409355,0.3700503152336237,0.8046875,false
