model_id,stratum,layer,control,denominator,intended_median_anchor,control_median_anchor,dominance_fraction_anchor,intended_median_future,control_median_future,dominance_fraction_future,pair_pass
development_model_1,S2_interaction_sensitive,rank4_oracle,random_equal_norm,256,0.22896248806739602,0.3329883796104938,0.890625,0.21550023871146579,0.3333238802529983,0.87890625,true
development_model_2,S2_interaction_sensitive,rank4_oracle,random_equal_norm,256,0.244604009978375,0.32359634521733416,0.86328125,0.2065814644129214,0.3305023796510209,0.93359375,true
development_model_3,S2_interaction_sensitive,rank4_oracle,random_equal_norm,256,0.2326599600648659,0.33323200243931017,0.83203125,0.23943677826433946,0.32906382093247716,0.76953125,false
development_model_1,S1_no_contact,addressable_affine,wrong_object,256,0.08510572806171665,0.33067290834305463,1.0,0.07934712492126106,0.2544134491252168,1.0,true
development_model_2,S1_no_contact,addressable_affine,wrong_object,256,0.19297592566082356,0.3404409309582437,0.96484375,0.13960213399852328,0.2487582310679015,1.0,true
development_model_3,S1_no_contact,addressable_affine,wrong_object,256,0.1900894895771803,0.3217815708838089,0.84765625,0.14033229129499564,0.25801063620488085,0.98828125,true
development_model_1,S1_no_contact,native_joint,wrong_object,256,0.05740353209239775,0.33688614298937625,1.0,0.0699619011198149,0.2715379470046741,1.0,true
development_model_2,S1_no_contact,native_joint,wrong_object,256,0.0558254053634062,0.3335963731449795,1.0,0.06059591629372445,0.274957472516331,1.0,true
development_model_3,S1_no_contact,native_joint,wrong_object,256,0.06223785608625815,0.3292908397152797,1.0,0.07265817854653295,0.26497923750222885,1.0,true
development_model_1,S1_no_contact,rank4_oracle,wrong_object,256,0.06452850652680116,0.334430607336236,1.0,0.0804275227554533,0.2675635699607283,1.0,true
development_model_2,S1_no_contact,rank4_oracle,wrong_object,256,0.13357543802779093,0.33358056349307647,0.8359375,0.10617826476764938,0.25351612500541787,0.953125,true
development_model_3,S1_no_contact,rank4_oracle,wrong_object,256,0.09912766039465311,0.32313114284045596,1.0,0.08302657368554872,0.25723310905113095,1.0,true
development_model_1,S2_interaction_sensitive,addressable_affine,wrong_object,256,0.25366332900103483,0.3375586834986807,0.80859375,0.25297385851173015,0.36556344079299274,0.7578125,false
development_model_2,S2_interaction_sensitive,addressable_affine,wrong_object,256,0.26130948701101275,0.3273879338978894,0.7421875,0.26327774922384706,0.3557622202763615,0.73828125,false
development_model_3,S2_interaction_sensitive,addressable_affine,wrong_object,256,0.27236885148982215,0.33008005864012435,0.734375,0.2830190755424995,0.35212854263661575,0.80078125,false
development_model_1,S2_interaction_sensitive,native_joint,wrong_object,256,0.23197195819335004,0.3295949464848992,0.8125,0.21338419180844836,0.378324770758318,0.90234375,true
development_model_2,S2_interaction_sensitive,native_joint,wrong_object,256,0.2353135820460877,0.32896499880785246,0.765625,0.2007634496419925,0.3877140397079656,0.94140625,false
development_model_3,S2_interaction_sensitive,native_joint,wrong_object,256,0.23011359181810623,0.32511196364868095,0.75390625,0.25088608781598387,0.38032305862121807,0.8046875,false
